Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Varicose veins,blackheads,dizziness,burning_micturition,restlessness,blood_in_sputum,sunken_eyes,,
Alcoholic hepatitis,anxiety,mood_swings,weight_loss,pain_during_bowel_movements,,,,
Hepatitis B,blister,mood_swings,lethargy,patches_in_throat,dark_urine,,,
Chronic cholestasis,brittle_nails,mild_fever,receiving_blood_transfusion,weakness_in_limbs,receiving_unsterile_injections,prominent_veins_on_calf,skin_rash,bladder_discomfort
Malaria,belly_pain,mild_fever,abnormal_menstruation,cold_hands_and_feets,receiving_unsterile_injections,,,
Jaundice,pain_behind_the_eyes,dehydration,weakness_in_limbs,yellow_crust_ooze,cough,burning_micturition,,
Malaria,mild_fever,receiving_unsterile_injections,abnormal_menstruation,cold_hands_and_feets,belly_pain,,,
Acne,irritation_in_anus,knee_pain,swollen_legs,obesity,sinus_pressure,nausea,polyuria,swelling_joints
Hypothyroidism,inflammatory_nails,bloody_stool,blister,congestion,continuous_sneezing,yellowing_of_eyes,cough,rusty_sputum
Urinary tract infection,nodal_skin_eruptions,swollen_legs,congestion,pus_filled_pimples,sunken_eyes,swelling_joints,weight_loss,
Psoriasis,neck_pain,passage_of_gases,muscle_pain,swollen_extremeties,mood_swings,,,
Hepatitis B,patches_in_throat,blister,mood_swings,dark_urine,lethargy,,,
Diabetes,pain_in_anal_region,drying_and_tingling_lips,pain_during_bowel_movements,lethargy,,,,
Tuberculosis,brittle_nails,bloody_stool,weight_loss,unsteadiness,,,,
Hepatitis B,lethargy,mood_swings,blister,dark_urine,patches_in_throat,,,
Impetigo,breathlessness,hip_joint_pain,history_of_alcohol_consumption,nodal_skin_eruptions,knee_pain,,,
Jaundice,weakness_in_limbs,yellow_crust_ooze,cough,pain_behind_the_eyes,burning_micturition,dehydration,,
Typhoid,red_sore_around_nose,itching,shivering,yellow_urine,throat_irritation,spinning_movements,diarrhoea,altered_sensorium
Migraine,acidity,pain_during_bowel_movements,family_history,swelling_joints,,,,
Impetigo,nodal_skin_eruptions,knee_pain,hip_joint_pain,history_of_alcohol_consumption,breathlessness,,,
Hepatitis C,congestion,swollen_legs,receiving_unsterile_injections,yellowing_of_eyes,silver_like_dusting,,,
Hypertension,belly_pain,loss_of_balance,acute_liver_failure,blackheads,yellow_urine,puffy_face_and_eyes,weakness_in_limbs,neck_pain
Paralysis (brain hemorrhage),coma,dizziness,family_history,swollen_legs,pain_behind_the_eyes,,,
AIDS,depression,lethargy,red_spots_over_body,slurred_speech,mood_swings,yellowish_skin,phlegm,
Hypertension,belly_pain,neck_pain,acute_liver_failure,puffy_face_and_eyes,yellow_urine,loss_of_balance,blackheads,weakness_in_limbs
Vertigo,lethargy,receiving_blood_transfusion,dizziness,muscle_wasting,,,,
Drug Reaction,breathlessness,cough,chest_pain,belly_pain,loss_of_smell,diarrhoea,,
AIDS,depression,phlegm,mood_swings,slurred_speech,red_spots_over_body,lethargy,yellowish_skin,
Arthritis,mucoid_sputum,small_dents_in_nails,bloody_stool,lethargy,mood_swings,malaise,weight_gain,mild_fever
Pneumonia,stomach_bleeding,lack_of_concentration,receiving_unsterile_injections,internal_itching,,,,
Hypertension,weakness_in_limbs,puffy_face_and_eyes,blackheads,belly_pain,neck_pain,yellow_urine,loss_of_balance,acute_liver_failure
Typhoid,shivering,red_sore_around_nose,altered_sensorium,yellow_urine,spinning_movements,throat_irritation,diarrhoea,itching
Bronchial Asthma,swollen_blood_vessels,internal_itching,weight_loss,runny_nose,muscle_pain,,,
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,vomiting,swollen_legs,,,,
Cervical spondylosis,swelling_joints,extra_marital_contacts,polyuria,congestion,pus_filled_pimples,cold_hands_and_feets,,
Peptic ulcer disease,swollen_legs,continuous_feel_of_urine,toxic_look_(typhos),vomiting,,,,
Tuberculosis,unsteadiness,bloody_stool,weight_loss,brittle_nails,,,,
Peptic ulcer disease,swollen_legs,continuous_feel_of_urine,toxic_look_(typhos),vomiting,,,,
Alcoholic hepatitis,mood_swings,anxiety,weight_loss,pain_during_bowel_movements,,,,
GERD,chest_pain,throat_irritation,pain_in_anal_region,joint_pain,,,,
Chicken pox,cramps,bladder_discomfort,slurred_speech,scurring,swollen_blood_vessels,nodal_skin_eruptions,dehydration,indigestion
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,vomiting,swollen_legs,,,,
Acne,polyuria,obesity,sinus_pressure,nausea,knee_pain,swelling_joints,swollen_legs,irritation_in_anus
Vertigo,dizziness,lethargy,receiving_blood_transfusion,muscle_wasting,,,,
Peptic ulcer disease,continuous_feel_of_urine,toxic_look_(typhos),swollen_legs,vomiting,,,,
Hyperthyroidism,belly_pain,itching,anxiety,yellowing_of_eyes,swollen_legs,painful_walking,watering_from_eyes,
Migraine,family_history,swelling_joints,pain_during_bowel_movements,acidity,,,,
Gastroenteritis,painful_walking,irritability,brittle_nails,belly_pain,,,,
Pneumonia,lack_of_concentration,stomach_bleeding,receiving_unsterile_injections,internal_itching,,,,
Urinary tract infection,pus_filled_pimples,congestion,weight_loss,sunken_eyes,swelling_joints,swollen_legs,nodal_skin_eruptions,
Arthritis,mucoid_sputum,mild_fever,small_dents_in_nails,lethargy,malaise,weight_gain,bloody_stool,mood_swings
Diabetes,drying_and_tingling_lips,lethargy,pain_during_bowel_movements,pain_in_anal_region,,,,
Vertigo,muscle_wasting,lethargy,receiving_blood_transfusion,dizziness,,,,
Typhoid,throat_irritation,diarrhoea,shivering,itching,red_sore_around_nose,altered_sensorium,yellow_urine,spinning_movements
GERD,chest_pain,joint_pain,throat_irritation,pain_in_anal_region,,,,
Bronchial Asthma,runny_nose,internal_itching,muscle_pain,swollen_blood_vessels,weight_loss,,,
Hepatitis C,receiving_unsterile_injections,congestion,swollen_legs,silver_like_dusting,yellowing_of_eyes,,,
Dengue,sweating,swollen_legs,painful_walking,swelling_of_stomach,knee_pain,mild_fever,itching,
Hypothyroidism,continuous_sneezing,rusty_sputum,yellowing_of_eyes,bloody_stool,blister,congestion,inflammatory_nails,cough
Hepatitis B,patches_in_throat,lethargy,dark_urine,mood_swings,blister,,,
Cervical spondylosis,cold_hands_and_feets,polyuria,swelling_joints,pus_filled_pimples,congestion,extra_marital_contacts,,
Hypoglycemia,chest_pain,blurred_and_distorted_vision,slurred_speech,blister,receiving_unsterile_injections,diarrhoea,,
Hyperthyroidism,swollen_legs,belly_pain,painful_walking,anxiety,watering_from_eyes,yellowing_of_eyes,itching,
Cervical spondylosis,swelling_joints,extra_marital_contacts,polyuria,pus_filled_pimples,congestion,cold_hands_and_feets,,
Hepatitis E,cold_hands_and_feets,pain_during_bowel_movements,weakness_in_limbs,chills,loss_of_smell,,,
Hyperthyroidism,belly_pain,yellowing_of_eyes,painful_walking,watering_from_eyes,anxiety,swollen_legs,itching,
Hypothyroidism,blister,continuous_sneezing,inflammatory_nails,bloody_stool,rusty_sputum,yellowing_of_eyes,cough,congestion
Chicken pox,slurred_speech,dehydration,swollen_blood_vessels,bladder_discomfort,indigestion,scurring,nodal_skin_eruptions,cramps
Jaundice,weakness_in_limbs,yellow_crust_ooze,cough,burning_micturition,pain_behind_the_eyes,dehydration,,
Hyperthyroidism,yellowing_of_eyes,belly_pain,watering_from_eyes,itching,painful_walking,swollen_legs,anxiety,
Urinary tract infection,congestion,sunken_eyes,pus_filled_pimples,nodal_skin_eruptions,weight_loss,swelling_joints,swollen_legs,
Dengue,swelling_of_stomach,mild_fever,painful_walking,sweating,itching,knee_pain,swollen_legs,
Heart attack,prominent_veins_on_calf,blurred_and_distorted_vision,swelled_lymph_nodes,receiving_unsterile_injections,pain_behind_the_eyes,,,
Fungal infection,joint_pain,enlarged_thyroid,fast_heart_rate,neck_pain,,,,
Hepatitis A,irritation_in_anus,weight_gain,muscle_weakness,depression,,,,
Hepatitis C,silver_like_dusting,receiving_unsterile_injections,yellowing_of_eyes,congestion,swollen_legs,,,
Hepatitis A,weight_gain,irritation_in_anus,depression,muscle_weakness,,,,
Chronic cholestasis,brittle_nails,skin_rash,bladder_discomfort,receiving_blood_transfusion,weakness_in_limbs,prominent_veins_on_calf,mild_fever,receiving_unsterile_injections
Typhoid,diarrhoea,shivering,altered_sensorium,throat_irritation,spinning_movements,red_sore_around_nose,yellow_urine,itching
Hepatitis C,silver_like_dusting,congestion,swollen_legs,receiving_unsterile_injections,yellowing_of_eyes,,,
Hyperthyroidism,painful_walking,anxiety,itching,swollen_legs,watering_from_eyes,yellowing_of_eyes,belly_pain,
Varicose veins,blackheads,blood_in_sputum,sunken_eyes,burning_micturition,restlessness,dizziness,,
Peptic ulcer disease,swollen_legs,toxic_look_(typhos),vomiting,continuous_feel_of_urine,,,,
Hepatitis A,depression,irritation_in_anus,muscle_weakness,weight_gain,,,,
Chicken pox,cramps,slurred_speech,nodal_skin_eruptions,bladder_discomfort,dehydration,scurring,indigestion,swollen_blood_vessels
Varicose veins,blood_in_sputum,burning_micturition,restlessness,blackheads,sunken_eyes,dizziness,,
Hypoglycemia,blister,chest_pain,slurred_speech,receiving_unsterile_injections,blurred_and_distorted_vision,diarrhoea,,
Cervical spondylosis,pus_filled_pimples,congestion,cold_hands_and_feets,polyuria,extra_marital_contacts,swelling_joints,,
Migraine,family_history,swelling_joints,acidity,pain_during_bowel_movements,,,,
Impetigo,breathlessness,history_of_alcohol_consumption,knee_pain,nodal_skin_eruptions,hip_joint_pain,,,
Fungal infection,neck_pain,joint_pain,enlarged_thyroid,fast_heart_rate,,,,
Hypertension,puffy_face_and_eyes,belly_pain,loss_of_balance,weakness_in_limbs,neck_pain,acute_liver_failure,blackheads,yellow_urine
Tuberculosis,unsteadiness,bloody_stool,weight_loss,brittle_nails,,,,
Fungal infection,enlarged_thyroid,fast_heart_rate,neck_pain,joint_pain,,,,
Hepatitis E,loss_of_smell,weakness_in_limbs,pain_during_bowel_movements,chills,cold_hands_and_feets,,,
Allergy,receiving_unsterile_injections,acidity,stomach_pain,irregular_sugar_level,breathlessness,,,
Hepatitis A,irritation_in_anus,weight_gain,depression,muscle_weakness,,,,
Hyperthyroidism,swollen_legs,painful_walking,itching,anxiety,yellowing_of_eyes,belly_pain,watering_from_eyes,
Typhoid,yellow_urine,throat_irritation,diarrhoea,altered_sensorium,red_sore_around_nose,itching,spinning_movements,shivering
Hepatitis C,yellowing_of_eyes,congestion,silver_like_dusting,swollen_legs,receiving_unsterile_injections,,,
Tuberculosis,weight_loss,bloody_stool,brittle_nails,unsteadiness,,,,
Gastroenteritis,irritability,belly_pain,painful_walking,brittle_nails,,,,
Acne,swollen_legs,obesity,polyuria,irritation_in_anus,nausea,knee_pain,swelling_joints,sinus_pressure
Osteoarthristis,swelling_joints,burning_micturition,weight_gain,anxiety,,,,
AIDS,slurred_speech,lethargy,red_spots_over_body,depression,mood_swings,yellowish_skin,phlegm,
Alcoholic hepatitis,mood_swings,anxiety,pain_during_bowel_movements,weight_loss,,,,
Varicose veins,blood_in_sputum,blackheads,restlessness,sunken_eyes,dizziness,burning_micturition,,
Hepatitis A,muscle_weakness,depression,irritation_in_anus,weight_gain,,,,
Hypoglycemia,chest_pain,receiving_unsterile_injections,blurred_and_distorted_vision,blister,slurred_speech,diarrhoea,,
Hyperthyroidism,yellowing_of_eyes,itching,painful_walking,belly_pain,anxiety,watering_from_eyes,swollen_legs,
Hypothyroidism,continuous_sneezing,inflammatory_nails,congestion,blister,bloody_stool,cough,rusty_sputum,yellowing_of_eyes
Typhoid,red_sore_around_nose,spinning_movements,shivering,diarrhoea,yellow_urine,itching,throat_irritation,altered_sensorium
Hepatitis C,congestion,swollen_legs,receiving_unsterile_injections,silver_like_dusting,yellowing_of_eyes,,,
Diabetes,drying_and_tingling_lips,lethargy,pain_during_bowel_movements,pain_in_anal_region,,,,
Hyperthyroidism,yellowing_of_eyes,watering_from_eyes,itching,belly_pain,painful_walking,swollen_legs,anxiety,
Heart attack,receiving_unsterile_injections,blurred_and_distorted_vision,prominent_veins_on_calf,swelled_lymph_nodes,pain_behind_the_eyes,,,
AIDS,depression,slurred_speech,phlegm,lethargy,yellowish_skin,red_spots_over_body,mood_swings,
Pneumonia,internal_itching,receiving_unsterile_injections,lack_of_concentration,stomach_bleeding,,,,
Fungal infection,fast_heart_rate,joint_pain,neck_pain,enlarged_thyroid,,,,
Hepatitis C,silver_like_dusting,yellowing_of_eyes,congestion,receiving_unsterile_injections,swollen_legs,,,
Peptic ulcer disease,vomiting,toxic_look_(typhos),continuous_feel_of_urine,swollen_legs,,,,
Diabetes,pain_during_bowel_movements,lethargy,drying_and_tingling_lips,pain_in_anal_region,,,,
Dengue,painful_walking,mild_fever,itching,swelling_of_stomach,sweating,swollen_legs,knee_pain,
Diabetes,pain_in_anal_region,pain_during_bowel_movements,lethargy,drying_and_tingling_lips,,,,
Hypertension,yellow_urine,loss_of_balance,acute_liver_failure,puffy_face_and_eyes,weakness_in_limbs,belly_pain,blackheads,neck_pain
Hepatitis D,family_history,dizziness,history_of_alcohol_consumption,altered_sensorium,stiff_neck,palpitations,headache,redness_of_eyes
Common Cold,rusty_sputum,nausea,high_fever,silver_like_dusting,blurred_and_distorted_vision,congestion,neck_pain,
Fungal infection,joint_pain,fast_heart_rate,neck_pain,enlarged_thyroid,,,,
Hypoglycemia,diarrhoea,blurred_and_distorted_vision,blister,receiving_unsterile_injections,chest_pain,slurred_speech,,
Varicose veins,sunken_eyes,blackheads,burning_micturition,dizziness,blood_in_sputum,restlessness,,
Fungal infection,joint_pain,fast_heart_rate,neck_pain,enlarged_thyroid,,,,
Hypothyroidism,inflammatory_nails,rusty_sputum,blister,cough,congestion,yellowing_of_eyes,continuous_sneezing,bloody_stool
Chronic cholestasis,weakness_in_limbs,prominent_veins_on_calf,receiving_blood_transfusion,receiving_unsterile_injections,bladder_discomfort,mild_fever,skin_rash,brittle_nails
Heart attack,pain_behind_the_eyes,prominent_veins_on_calf,blurred_and_distorted_vision,swelled_lymph_nodes,receiving_unsterile_injections,,,
Dimorphic hemmorhoids(piles),dizziness,sunken_eyes,loss_of_smell,sweating,mucoid_sputum,fatigue,anxiety,
Common Cold,silver_like_dusting,nausea,neck_pain,high_fever,blurred_and_distorted_vision,rusty_sputum,congestion,
Hyperthyroidism,painful_walking,anxiety,swollen_legs,belly_pain,itching,yellowing_of_eyes,watering_from_eyes,
Jaundice,weakness_in_limbs,pain_behind_the_eyes,burning_micturition,dehydration,yellow_crust_ooze,cough,,
Dimorphic hemmorhoids(piles),mucoid_sputum,anxiety,loss_of_smell,sweating,sunken_eyes,dizziness,fatigue,
Impetigo,hip_joint_pain,history_of_alcohol_consumption,knee_pain,breathlessness,nodal_skin_eruptions,,,
GERD,joint_pain,chest_pain,throat_irritation,pain_in_anal_region,,,,
Common Cold,neck_pain,blurred_and_distorted_vision,high_fever,nausea,rusty_sputum,silver_like_dusting,congestion,
Tuberculosis,bloody_stool,unsteadiness,brittle_nails,weight_loss,,,,
Hepatitis C,yellowing_of_eyes,swollen_legs,congestion,receiving_unsterile_injections,silver_like_dusting,,,
Dimorphic hemmorhoids(piles),anxiety,fatigue,dizziness,sunken_eyes,loss_of_smell,sweating,mucoid_sputum,
Hypoglycemia,slurred_speech,blister,diarrhoea,blurred_and_distorted_vision,receiving_unsterile_injections,chest_pain,,
Hyperthyroidism,itching,anxiety,belly_pain,swollen_legs,watering_from_eyes,yellowing_of_eyes,painful_walking,
AIDS,yellowish_skin,red_spots_over_body,mood_swings,lethargy,depression,phlegm,slurred_speech,
Common Cold,congestion,neck_pain,high_fever,silver_like_dusting,nausea,blurred_and_distorted_vision,rusty_sputum,
Typhoid,throat_irritation,itching,altered_sensorium,yellow_urine,spinning_movements,diarrhoea,red_sore_around_nose,shivering
Arthritis,lethargy,weight_gain,small_dents_in_nails,mild_fever,malaise,bloody_stool,mucoid_sputum,mood_swings
Psoriasis,mood_swings,passage_of_gases,muscle_pain,swollen_extremeties,neck_pain,,,
Migraine,acidity,pain_during_bowel_movements,family_history,swelling_joints,,,,
Hepatitis D,palpitations,redness_of_eyes,stiff_neck,family_history,altered_sensorium,headache,history_of_alcohol_consumption,dizziness
Hypoglycemia,blister,diarrhoea,slurred_speech,blurred_and_distorted_vision,chest_pain,receiving_unsterile_injections,,
Chronic cholestasis,mild_fever,bladder_discomfort,receiving_blood_transfusion,skin_rash,receiving_unsterile_injections,weakness_in_limbs,prominent_veins_on_calf,brittle_nails
Typhoid,shivering,spinning_movements,diarrhoea,altered_sensorium,throat_irritation,itching,red_sore_around_nose,yellow_urine
Psoriasis,passage_of_gases,muscle_pain,neck_pain,mood_swings,swollen_extremeties,,,
Malaria,receiving_unsterile_injections,mild_fever,abnormal_menstruation,cold_hands_and_feets,belly_pain,,,
Alcoholic hepatitis,weight_loss,pain_during_bowel_movements,anxiety,mood_swings,,,,
Arthritis,bloody_stool,lethargy,malaise,mild_fever,weight_gain,mood_swings,mucoid_sputum,small_dents_in_nails
Jaundice,cough,weakness_in_limbs,burning_micturition,pain_behind_the_eyes,yellow_crust_ooze,dehydration,,
Typhoid,yellow_urine,altered_sensorium,itching,red_sore_around_nose,throat_irritation,spinning_movements,diarrhoea,shivering
Alcoholic hepatitis,mood_swings,pain_during_bowel_movements,anxiety,weight_loss,,,,
Arthritis,lethargy,mood_swings,small_dents_in_nails,weight_gain,mucoid_sputum,bloody_stool,mild_fever,malaise
Heart attack,pain_behind_the_eyes,swelled_lymph_nodes,receiving_unsterile_injections,blurred_and_distorted_vision,prominent_veins_on_calf,,,
Urinary tract infection,swollen_legs,pus_filled_pimples,weight_loss,nodal_skin_eruptions,sunken_eyes,congestion,swelling_joints,
Drug Reaction,breathlessness,cough,diarrhoea,chest_pain,loss_of_smell,belly_pain,,
Hyperthyroidism,belly_pain,painful_walking,anxiety,swollen_legs,watering_from_eyes,itching,yellowing_of_eyes,
Jaundice,weakness_in_limbs,cough,dehydration,burning_micturition,yellow_crust_ooze,pain_behind_the_eyes,,
Paralysis (brain hemorrhage),pain_behind_the_eyes,swollen_legs,dizziness,coma,family_history,,,
Diabetes,pain_in_anal_region,pain_during_bowel_movements,drying_and_tingling_lips,lethargy,,,,
Psoriasis,neck_pain,muscle_pain,passage_of_gases,mood_swings,swollen_extremeties,,,
Alcoholic hepatitis,mood_swings,pain_during_bowel_movements,anxiety,weight_loss,,,,
Osteoarthristis,burning_micturition,swelling_joints,anxiety,weight_gain,,,,
Hyperthyroidism,belly_pain,yellowing_of_eyes,anxiety,swollen_legs,itching,watering_from_eyes,painful_walking,
Cervical spondylosis,congestion,pus_filled_pimples,extra_marital_contacts,cold_hands_and_feets,polyuria,swelling_joints,,
Osteoarthristis,swelling_joints,burning_micturition,weight_gain,anxiety,,,,
Paralysis (brain hemorrhage),family_history,dizziness,swollen_legs,coma,pain_behind_the_eyes,,,
Osteoarthristis,swelling_joints,anxiety,weight_gain,burning_micturition,,,,
Bronchial Asthma,weight_loss,internal_itching,runny_nose,swollen_blood_vessels,muscle_pain,,,
GERD,pain_in_anal_region,joint_pain,throat_irritation,chest_pain,,,,
Migraine,acidity,pain_during_bowel_movements,family_history,swelling_joints,,,,
Vertigo,dizziness,lethargy,receiving_blood_transfusion,muscle_wasting,,,,
Alcoholic hepatitis,weight_loss,anxiety,pain_during_bowel_movements,mood_swings,,,,
Pneumonia,lack_of_concentration,internal_itching,stomach_bleeding,receiving_unsterile_injections,,,,
Diabetes,drying_and_tingling_lips,pain_in_anal_region,lethargy,pain_during_bowel_movements,,,,
Acne,irritation_in_anus,swollen_legs,obesity,nausea,sinus_pressure,knee_pain,polyuria,swelling_joints
Urinary tract infection,congestion,swollen_legs,weight_loss,sunken_eyes,pus_filled_pimples,nodal_skin_eruptions,swelling_joints,
Varicose veins,restlessness,blood_in_sputum,blackheads,burning_micturition,sunken_eyes,dizziness,,
Osteoarthristis,swelling_joints,anxiety,burning_micturition,weight_gain,,,,
Hepatitis A,muscle_weakness,weight_gain,depression,irritation_in_anus,,,,
Diabetes,lethargy,drying_and_tingling_lips,pain_in_anal_region,pain_during_bowel_movements,,,,
Osteoarthristis,weight_gain,burning_micturition,swelling_joints,anxiety,,,,
Hepatitis D,headache,family_history,redness_of_eyes,stiff_neck,history_of_alcohol_consumption,palpitations,dizziness,altered_sensorium
Jaundice,cough,dehydration,weakness_in_limbs,pain_behind_the_eyes,yellow_crust_ooze,burning_micturition,,
Vertigo,receiving_blood_transfusion,muscle_wasting,lethargy,dizziness,,,,
Arthritis,mucoid_sputum,lethargy,malaise,bloody_stool,small_dents_in_nails,mood_swings,weight_gain,mild_fever
Acne,polyuria,irritation_in_anus,swelling_joints,swollen_legs,obesity,nausea,sinus_pressure,knee_pain
Psoriasis,swollen_extremeties,neck_pain,muscle_pain,mood_swings,passage_of_gases,,,
Dimorphic hemmorhoids(piles),fatigue,mucoid_sputum,sweating,sunken_eyes,dizziness,loss_of_smell,anxiety,
Hepatitis B,blister,dark_urine,lethargy,patches_in_throat,mood_swings,,,
Malaria,mild_fever,cold_hands_and_feets,belly_pain,abnormal_menstruation,receiving_unsterile_injections,,,
Gastroenteritis,belly_pain,irritability,brittle_nails,painful_walking,,,,
Dimorphic hemmorhoids(piles),sunken_eyes,sweating,loss_of_smell,fatigue,mucoid_sputum,dizziness,anxiety,
Dengue,itching,mild_fever,swollen_legs,sweating,swelling_of_stomach,painful_walking,knee_pain,
Drug Reaction,breathlessness,chest_pain,loss_of_smell,belly_pain,cough,diarrhoea,,
Acne,obesity,nausea,polyuria,knee_pain,sinus_pressure,swollen_legs,swelling_joints,irritation_in_anus
Hepatitis E,cold_hands_and_feets,weakness_in_limbs,chills,loss_of_smell,pain_during_bowel_movements,,,
Gastroenteritis,brittle_nails,belly_pain,painful_walking,irritability,,,,
Tuberculosis,weight_loss,unsteadiness,brittle_nails,bloody_stool,,,,
Malaria,abnormal_menstruation,mild_fever,cold_hands_and_feets,receiving_unsterile_injections,belly_pain,,,
Dimorphic hemmorhoids(piles),fatigue,mucoid_sputum,anxiety,sweating,loss_of_smell,dizziness,sunken_eyes,
Hepatitis D,palpitations,family_history,history_of_alcohol_consumption,dizziness,headache,altered_sensorium,stiff_neck,redness_of_eyes
Jaundice,dehydration,cough,burning_micturition,yellow_crust_ooze,pain_behind_the_eyes,weakness_in_limbs,,
Heart attack,receiving_unsterile_injections,prominent_veins_on_calf,pain_behind_the_eyes,swelled_lymph_nodes,blurred_and_distorted_vision,,,
AIDS,red_spots_over_body,yellowish_skin,slurred_speech,mood_swings,lethargy,depression,phlegm,
Alcoholic hepatitis,pain_during_bowel_movements,weight_loss,anxiety,mood_swings,,,,
Hypoglycemia,receiving_unsterile_injections,slurred_speech,chest_pain,blister,blurred_and_distorted_vision,diarrhoea,,
Hepatitis D,stiff_neck,dizziness,family_history,redness_of_eyes,history_of_alcohol_consumption,headache,altered_sensorium,palpitations
Dimorphic hemmorhoids(piles),sweating,mucoid_sputum,loss_of_smell,anxiety,fatigue,dizziness,sunken_eyes,
Migraine,swelling_joints,pain_during_bowel_movements,family_history,acidity,,,,
Jaundice,dehydration,burning_micturition,pain_behind_the_eyes,weakness_in_limbs,yellow_crust_ooze,cough,,
Varicose veins,blackheads,blood_in_sputum,restlessness,burning_micturition,sunken_eyes,dizziness,,
Allergy,stomach_pain,receiving_unsterile_injections,acidity,breathlessness,irregular_sugar_level,,,
Gastroenteritis,brittle_nails,irritability,painful_walking,belly_pain,,,,
Chronic cholestasis,mild_fever,receiving_blood_transfusion,receiving_unsterile_injections,brittle_nails,skin_rash,weakness_in_limbs,bladder_discomfort,prominent_veins_on_calf
Typhoid,altered_sensorium,throat_irritation,red_sore_around_nose,spinning_movements,itching,yellow_urine,shivering,diarrhoea
Jaundice,dehydration,weakness_in_limbs,yellow_crust_ooze,pain_behind_the_eyes,burning_micturition,cough,,
Psoriasis,muscle_pain,mood_swings,passage_of_gases,neck_pain,swollen_extremeties,,,
Heart attack,pain_behind_the_eyes,prominent_veins_on_calf,receiving_unsterile_injections,blurred_and_distorted_vision,swelled_lymph_nodes,,,
Alcoholic hepatitis,mood_swings,pain_during_bowel_movements,weight_loss,anxiety,,,,
Cervical spondylosis,congestion,swelling_joints,cold_hands_and_feets,extra_marital_contacts,pus_filled_pimples,polyuria,,
Migraine,acidity,pain_during_bowel_movements,swelling_joints,family_history,,,,
Osteoarthristis,weight_gain,swelling_joints,burning_micturition,anxiety,,,,
Gastroenteritis,irritability,brittle_nails,painful_walking,belly_pain,,,,
Hypoglycemia,chest_pain,blister,slurred_speech,receiving_unsterile_injections,diarrhoea,blurred_and_distorted_vision,,
Jaundice,pain_behind_the_eyes,weakness_in_limbs,burning_micturition,yellow_crust_ooze,dehydration,cough,,
Pneumonia,stomach_bleeding,receiving_unsterile_injections,lack_of_concentration,internal_itching,,,,
Jaundice,burning_micturition,dehydration,pain_behind_the_eyes,cough,yellow_crust_ooze,weakness_in_limbs,,
Fungal infection,enlarged_thyroid,fast_heart_rate,neck_pain,joint_pain,,,,
Hypoglycemia,chest_pain,slurred_speech,diarrhoea,blister,blurred_and_distorted_vision,receiving_unsterile_injections,,
Common Cold,blurred_and_distorted_vision,rusty_sputum,high_fever,neck_pain,nausea,congestion,silver_like_dusting,
Chicken pox,scurring,cramps,indigestion,bladder_discomfort,slurred_speech,nodal_skin_eruptions,swollen_blood_vessels,dehydration
Paralysis (brain hemorrhage),dizziness,pain_behind_the_eyes,swollen_legs,family_history,coma,,,
Arthritis,small_dents_in_nails,mild_fever,lethargy,mood_swings,malaise,bloody_stool,weight_gain,mucoid_sputum
Gastroenteritis,brittle_nails,irritability,painful_walking,belly_pain,,,,
Dimorphic hemmorhoids(piles),anxiety,loss_of_smell,mucoid_sputum,fatigue,sunken_eyes,sweating,dizziness,
Hepatitis C,swollen_legs,yellowing_of_eyes,receiving_unsterile_injections,silver_like_dusting,congestion,,,
Impetigo,nodal_skin_eruptions,hip_joint_pain,knee_pain,breathlessness,history_of_alcohol_consumption,,,
Urinary tract infection,swollen_legs,weight_loss,sunken_eyes,nodal_skin_eruptions,congestion,swelling_joints,pus_filled_pimples,
Peptic ulcer disease,vomiting,continuous_feel_of_urine,swollen_legs,toxic_look_(typhos),,,,
Tuberculosis,weight_loss,unsteadiness,brittle_nails,bloody_stool,,,,
Migraine,swelling_joints,pain_during_bowel_movements,acidity,family_history,,,,
Cervical spondylosis,congestion,extra_marital_contacts,cold_hands_and_feets,swelling_joints,polyuria,pus_filled_pimples,,
Urinary tract infection,pus_filled_pimples,swelling_joints,nodal_skin_eruptions,congestion,weight_loss,swollen_legs,sunken_eyes,
Hepatitis E,weakness_in_limbs,chills,pain_during_bowel_movements,cold_hands_and_feets,loss_of_smell,,,
Dengue,swelling_of_stomach,mild_fever,painful_walking,sweating,itching,swollen_legs,knee_pain,
Hypoglycemia,blurred_and_distorted_vision,blister,diarrhoea,slurred_speech,chest_pain,receiving_unsterile_injections,,
Arthritis,small_dents_in_nails,mucoid_sputum,lethargy,malaise,mild_fever,bloody_stool,weight_gain,mood_swings
Vertigo,lethargy,receiving_blood_transfusion,muscle_wasting,dizziness,,,,
Common Cold,neck_pain,nausea,silver_like_dusting,blurred_and_distorted_vision,high_fever,congestion,rusty_sputum,
Hepatitis C,congestion,yellowing_of_eyes,receiving_unsterile_injections,swollen_legs,silver_like_dusting,,,
Dimorphic hemmorhoids(piles),fatigue,anxiety,sweating,sunken_eyes,dizziness,loss_of_smell,mucoid_sputum,
Heart attack,pain_behind_the_eyes,receiving_unsterile_injections,prominent_veins_on_calf,blurred_and_distorted_vision,swelled_lymph_nodes,,,
Chicken pox,scurring,nodal_skin_eruptions,dehydration,swollen_blood_vessels,slurred_speech,bladder_discomfort,indigestion,cramps
